name,description,type,components,default,allowed,sources
CODEX_JOB_SH,Override path to job.sh used to start/status/stop/list asynchronous runs.,string,"mcp-server|cli-wrapper","<repo-root>/job.sh (fallback from CWD)",,"mcp/codex-mcp-server/src/index.ts:19|core/cli/scripts.ts:94"
CODEX_START_SH,Override path to start.sh; also enables 'stub' mode in MCP start tool when set.,string,"mcp-server|shell/job.sh|cli-wrapper","<repo-root>/start.sh (fallback from CWD)",,"mcp/codex-mcp-server/src/index.ts:37|job.sh:9|core/cli/scripts.ts:93"
CODEX_VERSION_OVERRIDE,Force Codex CLI version for compatibility checks (e.g., '0.44.0').,string,"mcp-server|shell/start.sh",,,"mcp/codex-mcp-server/src/index.ts:107|start.sh:133"
CODEX_MCP_NAME_STYLE,Filter tool names: 'underscore-only' or 'dot-only'.,string,mcp-server,,"underscore-only|dot-only","mcp/codex-mcp-server/src/index.ts:218"
CODEX_MCP_TOOL_PREFIX,Prefix for additional tool aliases (both dot and underscore variants).,string,mcp-server,,,"mcp/codex-mcp-server/src/index.ts:219"
CODEX_MCP_HIDE_ORIGINAL,Hide original codex.* and codex_* (keep only prefixed aliases) when true/1,boolean-like,mcp-server,false,"true|false|1|0","mcp/codex-mcp-server/src/index.ts:221"
CODEX_LOG_DIR,Root directory for logs/sessions.,string,shell/start.sh,"<script-dir>/.codex-father/sessions",,"start.sh:28"
CODEX_LOG_FILE,Absolute path to the log file.,string,shell/start.sh,,,"start.sh:29"
CODEX_LOG_TAG,Run tag used in session id/file names.,string,shell/start.sh,,,"start.sh:30"
CODEX_LOG_SUBDIRS,Use per-run subdirectories (1) or flat logs (0).,boolean-like,shell/start.sh,1,"1|0","start.sh:31"
CODEX_LOG_AGGREGATE,Write aggregate summaries (text/JSONL).,boolean-like,shell/start.sh,1,"1|0","start.sh:32"
CODEX_LOG_AGGREGATE_FILE,Path to aggregate text summary.,string,shell/start.sh,"<session-dir>/aggregate.txt",,"start.sh:38"
CODEX_LOG_AGGREGATE_JSONL_FILE,Path to aggregate JSONL summary.,string,shell/start.sh,"<session-dir>/aggregate.jsonl",,"start.sh:39"
CODEX_ECHO_INSTRUCTIONS,Echo composed instructions into logs.,boolean-like,shell/start.sh,1,"1|0","start.sh:34"
CODEX_ECHO_INSTRUCTIONS_LIMIT,Max instruction lines to echo (0 = unlimited).,number,shell/start.sh,0,,"start.sh:36"
REDACT_ENABLE,Enable output redaction.,boolean-like,shell/start.sh,0,"1|0","start.sh:42"
REDACT_REPLACEMENT,Replacement token used when redacting.,string,shell/start.sh,***REDACTED***,,"start.sh:55"
CODEX_SESSION_DIR,Explicit session directory; log becomes <dir>/job.log.,string,"shell/start.sh|shell/job.sh (inject)",,,"start.sh:807|job.sh:309"
CODEX_SESSIONS_ROOT,Root used to create session folders when no explicit session dir.,string,shell/start.sh,CODEX_LOG_DIR,,"start.sh:811"
INSTRUCTIONS,Base instructions when no other inputs provided.,string,shell/start.sh,,,"start.sh:914"
ON_CONTEXT_OVERFLOW_MAX_RETRIES,Extra retries on context overflow.,number,shell/start.sh,2,,"start.sh:583"
NODE_ENV,Node environment controlling behavior.,string,cli-node,development,"development|production|test","bin/codex-father:35|core/cli/start.ts:36"
DEBUG,Enable extra debug output.,boolean-like,cli-node,false,"1|0|true|false","bin/codex-father:82"
CODEX_VERBOSE,Show verbose warnings and details.,boolean-like,cli-node,false,"1|0|true|false","core/cli/start.ts:36|core/cli/config-loader.ts:522"
CODEX_JSON,Emit JSON-formatted error output.,boolean-like,cli-node,false,"1|0|true|false","core/cli/start.ts:37"
ENABLE_LOGGING,Do not silence logger in test env.,boolean-like,cli-node,unset,"1|0|true|false","core/cli/logger-setup.ts:234"
CODEX_SCRIPT_TIMEOUT,Default timeout (ms) for script wrappers.,number,cli-node,,,"core/cli/scripts.ts:152"
CODEX_ENV,Environment label in task metadata.,string,cli-node,"NODE_ENV or 'development'",,"core/lib/queue/task-definition.ts:26"
EDITOR,Default editor used by PRD commands.,string,cli-node,vim,,"src/cli/prd-commands.ts:103"
HOME,User home directory (default instructions path).,string,"shell/start.sh|cli-node",OS dependent,,"start.sh:11|core/cli/config-loader.ts:125"
USERPROFILE,Windows user profile (HOME fallback).,string,cli-node,OS dependent,,"core/cli/config-loader.ts:125"
APP_VERSION,Build-time injected app version.,string,cli-node,,,"src/lib/utils.ts:1062"
BUILD_DATE,Build-time injected ISO date.,string,cli-node,,,"src/lib/utils.ts:1063"
MCP_TS_SERVER,Override TS MCP server entry for mcp/server.sh.,string,mcp-shell,"mcp/codex-mcp-server/dist/index.js",,"mcp/server.sh:6"
